clip_id,genre,genre_id,track_path,track_name,clip_path,start_sec,end_sec,duration_sec,segment_idx,track_idx,lyrics_text,lyrics_status,split
blues_000_0,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00000.wav,blues.00000,/Users/ashfaquesami/425_project/data/clips_10s/blues_000_0.wav,0.0,10.0,10.0,0,0,,pending,train
blues_000_1,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00000.wav,blues.00000,/Users/ashfaquesami/425_project/data/clips_10s/blues_000_1.wav,10.0,20.0,10.0,1,0,,pending,train
blues_000_2,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00000.wav,blues.00000,/Users/ashfaquesami/425_project/data/clips_10s/blues_000_2.wav,20.0,30.0,10.0,2,0,,pending,train
blues_001_0,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00001.wav,blues.00001,/Users/ashfaquesami/425_project/data/clips_10s/blues_001_0.wav,0.0,10.0,10.0,0,1,,pending,test
blues_001_1,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00001.wav,blues.00001,/Users/ashfaquesami/425_project/data/clips_10s/blues_001_1.wav,10.0,20.0,10.0,1,1,,pending,test
blues_001_2,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00001.wav,blues.00001,/Users/ashfaquesami/425_project/data/clips_10s/blues_001_2.wav,20.0,30.0,10.0,2,1,,pending,test
blues_002_0,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00002.wav,blues.00002,/Users/ashfaquesami/425_project/data/clips_10s/blues_002_0.wav,0.0,10.0,10.0,0,2,,pending,train
blues_002_1,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00002.wav,blues.00002,/Users/ashfaquesami/425_project/data/clips_10s/blues_002_1.wav,10.0,20.0,10.0,1,2,,pending,train
blues_002_2,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00002.wav,blues.00002,/Users/ashfaquesami/425_project/data/clips_10s/blues_002_2.wav,20.0,30.0,10.0,2,2,,pending,train
blues_003_0,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00003.wav,blues.00003,/Users/ashfaquesami/425_project/data/clips_10s/blues_003_0.wav,0.0,10.0,10.0,0,3,,pending,train
blues_003_1,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00003.wav,blues.00003,/Users/ashfaquesami/425_project/data/clips_10s/blues_003_1.wav,10.0,20.0,10.0,1,3,,pending,train
blues_003_2,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00003.wav,blues.00003,/Users/ashfaquesami/425_project/data/clips_10s/blues_003_2.wav,20.0,30.0,10.0,2,3,,pending,train
blues_004_0,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00004.wav,blues.00004,/Users/ashfaquesami/425_project/data/clips_10s/blues_004_0.wav,0.0,10.0,10.0,0,4,,pending,val
blues_004_1,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00004.wav,blues.00004,/Users/ashfaquesami/425_project/data/clips_10s/blues_004_1.wav,10.0,20.0,10.0,1,4,,pending,val
blues_004_2,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00004.wav,blues.00004,/Users/ashfaquesami/425_project/data/clips_10s/blues_004_2.wav,20.0,30.0,10.0,2,4,,pending,val
blues_005_0,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00005.wav,blues.00005,/Users/ashfaquesami/425_project/data/clips_10s/blues_005_0.wav,0.0,10.0,10.0,0,5,,pending,train
blues_005_1,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00005.wav,blues.00005,/Users/ashfaquesami/425_project/data/clips_10s/blues_005_1.wav,10.0,20.0,10.0,1,5,,pending,train
blues_005_2,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00005.wav,blues.00005,/Users/ashfaquesami/425_project/data/clips_10s/blues_005_2.wav,20.0,30.0,10.0,2,5,,pending,train
blues_006_0,blues,0,/Users/ashfaquesami/425_project/data/raw_gtzan/genres_original/blues/blues.00006.wav,blues.00006,/Users/ashfaquesami/425_project/data/clips_10s/blues_006_0.wav,0.0,10.0,10.0,0,6,,pending,train
